,source,target
1606,1060,77
1611,1060,516
1619,1061,522
1622,1061,662
1623,1061,727
1624,1061,978
1625,1061,980
1621,1061,628
1618,1061,437
1617,1061,376
1620,1061,551
1615,1061,153
1614,1061,108
1613,1061,8
1616,1061,261
1635,1062,750
1634,1062,77
1641,1063,786
1640,1063,671
1773,1064,704
1795,1065,158
1794,1065,13
1796,1065,276
1850,1066,77
1851,1066,89
1853,1066,405
1852,1066,265
1854,1066,510
1855,1066,516
1856,1066,939
2007,1067,180
2010,1067,415
2011,1067,720
2005,1067,0
2008,1067,236
2006,1067,25
2009,1067,373
2126,1068,1
2125,1068,0
2130,1068,301
2129,1068,244
2128,1068,69
2127,1068,2
2192,1069,337
2264,1070,77
2265,1070,81
2266,1070,227
2267,1070,918
2281,1071,943
2280,1071,664
2389,1072,664
2390,1072,943
2766,1073,772
2765,1073,723
2816,1074,972
2814,1074,614
2813,1074,565
2812,1074,557
2811,1074,513
2810,1074,496
2817,1074,1007
2815,1074,812
2809,1074,296
2808,1074,262
2807,1074,230
2917,1075,686
2916,1075,631
2915,1075,603
3090,1076,29
3094,1076,156
3093,1076,124
3092,1076,113
3091,1076,55
3089,1076,19
3095,1076,200
3098,1076,627
3099,1076,689
3097,1076,469
3096,1076,448
3423,1077,603
3424,1077,631
3425,1077,686
3464,1078,871
3570,1079,0
3571,1079,1
3585,1080,687
3587,1080,808
3586,1080,797
3768,1081,410
417,1082,415
595,1083,1007
594,1083,972
593,1083,614
592,1083,565
590,1083,262
591,1083,496
638,1084,0
639,1084,1
640,1084,709
803,1085,480
802,1085,264
806,1085,861
805,1085,659
804,1085,628
1004,1086,456
1005,1086,496
1006,1086,568
1008,1086,628
1009,1086,972
1010,1086,1007
1003,1086,262
1007,1086,614
1038,1087,628
1039,1087,826
1115,1088,1031
1114,1088,995
1191,1089,276
1190,1089,13
1235,1090,121
1279,1091,1037
1325,1092,672
1603,1093,77
1914,1094,1081
1949,1095,995
2118,1096,981
2124,1097,597
2271,1098,662
2297,1099,690
2298,1099,926
2331,1100,345
2335,1100,1079
2333,1100,636
2334,1100,700
2332,1100,363
2321,1100,0
2330,1100,312
2327,1100,247
2325,1100,82
2324,1100,54
2322,1100,1
2328,1100,277
2329,1100,281
2323,1100,45
2326,1100,209
2417,1101,1079
2413,1101,415
2416,1101,637
2414,1101,439
2415,1101,467
2425,1102,664
2427,1102,1097
2426,1102,714
2489,1103,985
2488,1103,967
2487,1103,929
2486,1103,926
2485,1103,882
2484,1103,855
2483,1103,791
2482,1103,783
2479,1103,662
2478,1103,562
2477,1103,497
2476,1103,456
2491,1103,1099
2475,1103,437
2474,1103,414
2473,1103,360
2472,1103,351
2471,1103,261
2470,1103,143
2481,1103,755
2480,1103,751
2490,1103,1049
2597,1104,590
2739,1105,307
2740,1105,757
2738,1105,218
2741,1105,838
2805,1106,337
3415,1107,1028
3418,1108,864
3417,1108,550
3416,1108,373
3455,1109,1031
3454,1109,664
3512,1110,887
3547,1111,1040
3544,1111,466
3546,1111,961
3545,1111,628
3583,1112,762
3584,1112,832
3596,1113,841
108,1114,1093
126,1115,472
127,1115,491
128,1115,872
125,1115,393
186,1116,1097
185,1116,597
505,1117,559
632,1118,714
631,1118,664
633,1118,1097
710,1119,266
968,1120,926
967,1120,897
1042,1121,1093
1151,1122,717
1152,1122,833
1150,1122,619
1149,1122,590
1148,1122,539
1147,1122,483
1153,1122,1009
1154,1122,1104
1146,1122,403
1144,1122,150
1145,1122,210
1281,1123,550
1280,1123,373
1282,1123,864
1284,1124,690
1365,1125,0
1366,1125,1
1367,1125,7
1665,1126,1037
1666,1126,1091
1711,1127,864
1710,1127,550
1709,1127,373
2105,1128,7
2104,1128,1
2103,1128,0
2153,1129,1097
2152,1129,714
2151,1129,664
2202,1130,981
2209,1131,219
2234,1132,877
2235,1132,940
2278,1133,484
2350,1134,101
2502,1135,902
2561,1136,370
2560,1136,337
2553,1136,158
2551,1136,54
2550,1136,37
2549,1136,33
2554,1136,178
2548,1136,8
2563,1136,415
2547,1136,7
2555,1136,188
2556,1136,213
2557,1136,263
2562,1136,373
2558,1136,280
2564,1136,483
2565,1136,485
2566,1136,633
2567,1136,692
2568,1136,740
2569,1136,870
2545,1136,0
2570,1136,900
2546,1136,1
2571,1136,1100
2559,1136,304
2552,1136,105
2679,1137,981
2959,1138,497
2960,1138,1049
3105,1139,156
3104,1139,124
3107,1139,448
3106,1139,200
3112,1139,968
3111,1139,689
3110,1139,656
3100,1139,19
3101,1139,29
3102,1139,55
3103,1139,113
3109,1139,627
3108,1139,469
3396,1140,853
3483,1141,496
3487,1141,972
3486,1141,900
3488,1141,1007
3484,1141,614
3485,1141,888
3506,1142,61
3552,1143,209
3549,1143,0
3551,1143,119
3550,1143,1
3713,1144,1131
3808,1145,577
3807,1145,504
133,1146,981
197,1147,1131
275,1148,418
272,1148,240
273,1148,370
274,1148,404
439,1149,956
438,1149,918
437,1149,844
436,1149,764
431,1149,77
432,1149,81
433,1149,93
434,1149,317
435,1149,609
440,1150,664
443,1150,1102
441,1150,714
442,1150,1097
499,1151,219
500,1151,269
501,1151,319
502,1151,519
503,1151,746
504,1151,909
567,1152,1131
656,1153,502
658,1153,912
657,1153,705
730,1154,1131
959,1155,897
958,1155,522
957,1155,456
979,1156,808
978,1156,797
977,1156,687
1000,1157,1153
1001,1158,995
1070,1159,0
1074,1159,628
1073,1159,234
1072,1159,7
1071,1159,1
1130,1160,1036
1128,1160,891
1129,1160,946
1127,1160,743
1126,1160,464
1125,1160,370
1203,1161,533
1207,1161,787
1201,1161,368
1208,1161,969
1202,1161,370
1205,1161,604
1206,1161,605
1204,1161,558
1199,1161,240
1200,1161,278
1318,1162,1031
1317,1162,664
1425,1163,1131
1452,1164,1131
1454,1165,1081
1455,1165,1094
1496,1166,337
1626,1167,150
1627,1167,1122
1713,1168,1091
1712,1168,1037
1714,1168,1126
1808,1169,1074
1806,1169,384
1805,1169,194
1804,1169,175
1803,1169,41
1802,1169,30
1801,1169,3
1800,1169,1
1799,1169,0
1807,1169,396
1859,1170,1043
1858,1170,860
1962,1171,61
1963,1171,77
1964,1171,185
1965,1171,463
1967,1171,561
1966,1171,547
2058,1172,363
2059,1172,508
2057,1172,277
2056,1172,1
2055,1172,0
2060,1172,1100
2096,1173,1170
2122,1174,13
2123,1174,276
2337,1175,724
2339,1175,808
2336,1175,687
2338,1175,797
2386,1176,1160
2380,1176,370
2382,1176,743
2385,1176,1036
2384,1176,946
2383,1176,891
2381,1176,464
2504,1177,0
2505,1177,1
2507,1177,141
2506,1177,17
2523,1178,898
2522,1178,370
2617,1179,1131
2618,1180,0
2619,1180,1
2673,1181,1164
2672,1181,1131
2749,1182,1160
2748,1182,1036
2747,1182,946
2746,1182,891
2745,1182,743
2744,1182,464
2743,1182,370
2750,1182,1176
2762,1183,797
2763,1183,808
2761,1183,687
2836,1184,981
2895,1185,262
2902,1185,1083
2901,1185,1007
2900,1185,972
2899,1185,614
2898,1185,557
2897,1185,496
2896,1185,296
2894,1185,230
2937,1186,947
2936,1186,808
2935,1186,806
2934,1186,797
2933,1186,687
2938,1186,1013
3006,1187,1
3007,1187,7
3008,1187,36
3009,1187,373
3005,1187,0
3010,1187,415
3011,1187,448
3013,1187,1159
3012,1187,633
3051,1188,375
3052,1188,377
3053,1188,589
3054,1188,725
3055,1188,911
3056,1188,1062
3071,1189,1170
3069,1189,860
3070,1189,1043
3185,1190,194
3180,1190,1
3181,1190,3
3182,1190,30
3183,1190,41
3184,1190,175
3186,1190,384
3187,1190,396
3188,1190,1074
3189,1190,1169
3179,1190,0
3275,1191,1072
3345,1192,96
3344,1192,83
3343,1192,61
3553,1193,995
3614,1194,1170
3674,1195,1
3673,1195,0
3711,1196,597
3712,1196,989
3755,1197,1131
3816,1198,515
3817,1198,741
3818,1198,975
3815,1198,308
41,1199,537
42,1199,804
40,1199,365
39,1199,295
69,1200,590
72,1201,1099
71,1201,755
107,1202,1007
106,1202,972
105,1202,614
104,1202,496
103,1202,7
207,1203,687
208,1203,1009
206,1203,639
205,1203,595
203,1203,466
202,1203,150
204,1203,590
341,1204,128
342,1204,167
343,1204,331
344,1204,643
345,1204,738
340,1204,77
346,1204,862
421,1205,762
420,1205,752
419,1205,639
521,1206,77
522,1206,360
566,1207,808
564,1207,687
565,1207,797
571,1208,564
637,1209,853
682,1210,1037
683,1210,1091
685,1210,1168
684,1210,1126
863,1211,452
866,1211,1030
865,1211,896
864,1211,826
867,1211,1087
881,1212,603
883,1212,686
882,1212,631
909,1213,1206
1066,1214,276
1065,1214,13
1110,1215,786
1109,1215,671
1111,1215,1063
1131,1216,740
1232,1217,797
1231,1217,687
1233,1217,808
1312,1218,703
1311,1218,483
1313,1218,744
1335,1219,918
1332,1219,81
1333,1219,90
1334,1219,499
1421,1220,643
1422,1220,738
1420,1220,331
1419,1220,167
1418,1220,128
1423,1220,862
1424,1220,1204
1416,1220,77
1417,1220,118
1489,1221,121
1521,1222,740
1575,1223,1206
1596,1224,808
1595,1224,797
1594,1224,687
1601,1225,448
1659,1226,1102
1658,1226,1097
1657,1226,714
1656,1226,664
1705,1227,1205
1704,1227,752
1703,1227,639
1747,1228,1040
1745,1228,628
1744,1228,590
1743,1228,466
1746,1228,961
1905,1229,986
1906,1229,1026
1896,1229,84
1897,1229,135
1898,1229,165
1899,1229,430
1900,1229,471
1901,1229,473
1902,1229,580
1903,1229,680
1895,1229,42
1904,1229,760
1923,1230,308
2013,1231,666
2014,1231,871
2172,1232,1170
2205,1233,853
2236,1234,1131
2647,1235,808
2645,1235,687
2646,1235,797
2874,1236,1131
3045,1237,1170
3046,1237,1194
3120,1238,1
3121,1238,42
3122,1238,263
3123,1238,373
3128,1238,1136
3124,1238,399
3125,1238,888
3127,1238,1100
3129,1238,1187
3119,1238,0
3126,1238,1035
3137,1239,0
3142,1239,1238
3139,1239,140
3138,1239,1
3141,1239,888
3140,1239,735
3156,1240,38
3159,1240,497
3164,1240,1211
3163,1240,1103
3155,1240,36
3160,1240,897
3162,1240,1049
3161,1240,980
3158,1240,437
3157,1240,143
3223,1241,1131
3285,1242,797
3284,1242,687
3286,1242,808
3548,1243,61
3653,1244,1131
3834,1245,295
3836,1245,537
3837,1245,804
3838,1245,1199
3835,1245,365
115,1246,1206
179,1247,1010
178,1247,761
175,1247,554
176,1247,638
177,1247,734
311,1248,897
309,1248,108
310,1248,628
415,1249,1206
446,1250,1226
445,1250,989
444,1250,597
582,1251,933
581,1251,519
580,1251,192
628,1252,615
718,1253,1170
897,1254,978
896,1254,628
895,1254,522
894,1254,456
893,1254,108
898,1254,1103
1036,1255,1131
1140,1256,855
1215,1257,939
1326,1258,448
1327,1258,813
1348,1259,1057
1600,1260,808
1599,1260,797
1598,1260,687
1647,1261,864
1645,1261,373
1646,1261,550
1644,1261,263
1886,1262,36
1892,1262,1049
1890,1262,497
1893,1262,1103
1889,1262,261
1888,1262,133
1891,1262,522
1894,1262,1240
1887,1262,108
1907,1263,1131
1918,1264,308
1919,1264,515
1990,1265,621
2111,1266,963
2113,1266,1007
2110,1266,614
2109,1266,496
2108,1266,296
2114,1266,1202
2112,1266,972
2106,1266,230
2107,1266,262
2304,1267,1250
2434,1268,1170
2432,1268,860
2433,1268,1043
2437,1269,1193
2753,1270,1
2754,1270,217
2755,1270,363
2752,1270,0
2756,1270,1238
2793,1271,625
2792,1271,612
2788,1271,148
2795,1271,847
2789,1271,193
2791,1271,548
2794,1271,794
2796,1271,1031
2790,1271,229
2804,1272,308
3004,1273,1131
3028,1274,1251
3027,1274,687
3146,1275,960
3372,1276,1265
3371,1276,621
3388,1277,1073
3387,1277,723
3436,1278,670
3437,1278,1052
3434,1278,258
3435,1278,274
3527,1279,664
3528,1279,714
3530,1279,1150
3529,1279,1097
3696,1280,621
3697,1280,1265
3699,1281,1170
3700,1281,1194
3701,1281,1237
3743,1282,1092
3744,1282,1093
3769,1283,1131
233,1284,797
236,1284,1242
235,1284,937
234,1284,808
232,1284,687
242,1285,1131
243,1285,1236
471,1286,117
472,1286,227
473,1286,918
470,1286,95
469,1286,77
553,1287,1238
549,1287,0
550,1287,1
552,1287,580
551,1287,329
677,1288,687
678,1288,792
680,1288,808
679,1288,797
686,1289,1251
858,1290,89
859,1290,344
860,1290,516
861,1290,691
869,1291,796
870,1291,923
868,1291,736
871,1291,1251
1045,1292,808
1043,1292,687
1044,1292,797
1069,1293,1131
1124,1294,1097
1123,1294,597
1216,1295,981
1415,1296,996
1414,1296,967
1456,1297,1131
1457,1298,1251
1590,1299,0
1593,1299,1238
1592,1299,219
1591,1299,1
1764,1300,1131
1970,1301,786
2020,1302,417
2021,1302,690
2022,1303,882
2261,1304,1251
2418,1305,687
2420,1305,808
2419,1305,797
2447,1306,860
2449,1306,1170
2448,1306,1043
2610,1307,1131
2772,1308,1294
2985,1309,1043
2986,1309,1170
2984,1309,860
3044,1310,1072
3043,1310,664
3191,1311,703
3190,1311,483
3192,1311,744
3406,1312,642
3470,1313,1027
3468,1313,205
3469,1313,695
3513,1314,603
3515,1314,686
3514,1314,631
3524,1315,926
3568,1316,832
3567,1316,762
3649,1317,1131
3650,1317,1283
3806,1318,321
3811,1319,1153
52,1320,628
54,1320,691
51,1320,590
50,1320,89
49,1320,77
53,1320,687
88,1321,1278
87,1321,1052
82,1321,230
84,1321,258
85,1321,274
86,1321,670
83,1321,249
124,1322,276
123,1322,158
122,1322,13
219,1323,1072
217,1323,664
218,1323,943
325,1324,995
449,1325,734
451,1325,1010
450,1325,761
448,1325,638
447,1325,554
452,1325,1247
495,1326,1238
494,1326,1187
489,1326,0
492,1326,160
491,1326,100
490,1326,1
493,1326,302
634,1327,1170
688,1328,1084
777,1329,1196
1170,1330,1187
1168,1330,0
1171,1330,1238
1169,1330,1
1172,1330,1326
1238,1331,628
1239,1331,639
1240,1331,687
1241,1331,961
1242,1331,1016
1237,1331,483
1236,1331,466
1243,1331,1040
1432,1332,436
1433,1332,494
1430,1332,233
1431,1332,391
1578,1333,836
1577,1333,380
1588,1334,797
1587,1334,687
1589,1334,808
1857,1335,448
1948,1336,1131
1952,1337,615
2004,1338,1131
2039,1339,494
2038,1339,436
2037,1339,391
2036,1339,233
2040,1339,1332
2144,1340,1196
2154,1341,306
2155,1341,483
2156,1341,590
2157,1341,673
2158,1341,786
2210,1342,1318
2245,1343,995
2246,1343,1324
2573,1344,1131
2576,1345,288
2607,1346,841
2689,1347,687
2798,1348,500
2797,1348,403
2860,1349,429
2861,1349,442
2857,1349,7
2862,1349,560
2858,1349,22
2865,1349,1238
2863,1349,795
2855,1349,0
2866,1349,1326
2856,1349,1
2864,1349,932
2859,1349,63
2948,1350,1206
2961,1351,150
2993,1352,1131
2994,1352,1236
2995,1352,1285
3029,1353,733
3030,1353,745
3143,1354,227
3165,1355,687
3166,1355,1131
3222,1356,1163
3221,1356,1131
3276,1357,595
3295,1358,590
3312,1359,1103
3342,1360,1228
3341,1360,150
3373,1361,1131
3374,1361,1152
3656,1362,1251
3655,1362,1135
3682,1363,1016
89,1364,1337
156,1365,621
157,1365,886
158,1365,1265
159,1365,1276
160,1365,1280
163,1366,411
164,1366,1093
228,1367,469
221,1367,29
222,1367,55
223,1367,113
224,1367,124
230,1367,689
225,1367,156
226,1367,200
227,1367,448
220,1367,19
229,1367,627
261,1368,904
351,1369,981
456,1370,880
588,1371,477
589,1371,901
587,1371,238
586,1371,219
757,1372,1131
818,1373,918
816,1373,77
817,1373,81
835,1374,687
836,1374,797
837,1374,808
914,1375,409
913,1375,370
918,1375,1182
915,1375,534
916,1375,584
917,1375,887
971,1376,808
969,1376,687
970,1376,797
1052,1377,484
1113,1378,887
1395,1379,7
1406,1379,969
1407,1379,1161
1405,1379,787
1399,1379,368
1404,1379,605
1396,1379,240
1397,1379,278
1398,1379,366
1402,1379,558
1401,1379,533
1400,1379,370
1403,1379,604
1500,1380,981
1502,1381,1255
1501,1381,1131
1582,1382,687
1584,1382,808
1583,1382,797
1630,1383,808
1629,1383,797
1628,1383,687
1668,1384,559
1749,1385,664
1751,1385,1031
1750,1385,995
1752,1385,1193
1753,1385,1324
1823,1386,1206
1935,1387,1360
1934,1387,687
2053,1388,1122
2048,1388,176
2049,1388,212
2054,1388,1167
2050,1388,225
2052,1388,495
2051,1388,287
2061,1389,981
2090,1390,714
2091,1390,1097
2089,1390,664
2092,1390,1150
2094,1390,1340
2093,1390,1294
2187,1391,628
2250,1392,494
2249,1392,436
2252,1392,1339
2247,1392,233
2248,1392,391
2251,1392,1332
2307,1393,370
2308,1393,373
2309,1393,550
2311,1393,981
2310,1393,864
2312,1393,1182
2313,1394,887
2361,1395,1357
2360,1395,45
2410,1396,651
2409,1396,96
2408,1396,83
2435,1397,1196
2453,1398,662
2586,1399,439
2587,1399,467
2588,1399,637
2589,1399,1101
2674,1400,877
2675,1400,1251
2966,1401,744
2965,1401,703
3134,1402,101
3154,1403,1131
3167,1404,1392
3194,1405,628
3280,1406,1251
3281,1406,1291
3400,1407,81
3402,1407,499
3403,1407,918
3399,1407,77
3401,1407,90
3490,1408,109
3489,1408,77
3495,1408,405
3492,1408,215
3496,1408,510
3494,1408,265
3493,1408,232
3497,1408,516
3491,1408,151
3516,1409,1131
3646,1410,1170
3664,1411,484
3665,1411,503
3847,1412,109
3846,1412,77
3852,1412,1408
3851,1412,510
3850,1412,232
3849,1412,215
3848,1412,151
33,1413,1343
31,1413,1193
29,1413,995
30,1413,1031
32,1413,1324
47,1414,1203
271,1415,1114
270,1415,1093
300,1416,1026
299,1416,888
298,1416,680
297,1416,473
296,1416,471
295,1416,165
294,1416,135
293,1416,84
292,1416,42
350,1417,61
391,1418,1031
392,1418,1193
393,1418,1324
390,1418,664
650,1419,690
651,1419,1302
748,1420,1210
747,1420,1168
746,1420,1126
745,1420,1091
744,1420,1037
769,1421,1170
768,1421,1043
767,1421,860
819,1422,1251
1197,1423,1187
1195,1423,110
1196,1423,651
1194,1423,83
1193,1423,61
1192,1423,40
1276,1424,1347
1359,1425,1418
1389,1426,0
1390,1426,1
1391,1426,372
1392,1426,1238
1393,1426,1326
1448,1427,108
1449,1427,1262
1451,1428,904
1481,1429,687
1482,1429,790
1483,1429,797
1484,1429,808
1485,1429,823
1486,1429,962
1487,1429,1217
1488,1429,1292
1494,1430,1251
1525,1431,225
1529,1431,1167
1524,1431,212
1527,1431,364
1528,1431,1122
1526,1431,306
1790,1432,838
1789,1432,403
1791,1432,1105
1787,1432,150
1786,1432,115
1785,1432,112
1788,1432,307
1847,1433,664
1849,1433,1323
1848,1433,1072
1872,1434,1170
1874,1435,1131
1875,1435,1163
1920,1436,1093
1921,1436,1114
1922,1436,1415
1931,1437,1366
1930,1437,1093
1951,1438,466
