year,patents,cumulative
1963,90982,90982
1964,92971,183953
1965,100150,284103
1966,93482,377585
1967,90544,468129
1968,98737,566866
1969,104357,671223
1970,109359,780582
1971,111095,891677
1972,105300,996977
1973,109622,1106599
1974,108011,1214610
1975,107456,1322066
1976,109580,1431646
1977,108377,1540023
1978,108648,1648671
1979,108209,1756880
1980,112379,1869259
1981,113966,1983225
1982,117987,2101212
1983,112040,2213252
1984,120276,2333528
1985,126788,2460316
1986,132665,2592981
1987,139455,2732436
1988,151491,2883927
1989,165748,3049675
1990,176264,3225939
1991,177830,3403769
1992,186507,3590276
1993,188739,3779015
1994,206090,3985105
1995,228238,4213343
1996,211013,4424356
1997,232424,4656780
1998,260889,4917669
1999,288811,5206480
2000,315015,5521495
2001,345732,5867227
2002,356493,6223720
2003,366043,6589763
2004,382139,6971902
2005,417508,7389410
2006,452633,7842043
2007,484955,8326998
2008,485312,8812310
2009,482871,9295181
2010,520277,9815458
2011,535188,10350646
2012,576763,10927409
2013,609052,11536461
2014,615243,12151704
2015,629647,12781351